id,first_name,last_name,email,major_code
1,Bill,Thomas,sduifhiu@gg.edu,ACTG
2,Kim,Parker,qwehqwiueh@gg.edu,ACTG
3,Howard,Wilson,qweqweijv@gg.edu,ART
4,Tony,Stark,iuqwhejiuqw@gg.edu,ART
5,Jack,Jones,iuqwehiuqweh@gg.edu,BI
6,Bruce,Vayne,qw9eh1892@gg.edu,BI
7,Carl,Miller,oqwiejiqwjeo1@gg.edu,BS
8,Ray,Brown,qopwijrfoiv@gg.edu,BS
9,Iris,Smith,qwoiehofhp@gg.edu,CH
10,Will,Lin,qweioqweoij@gg.edu,CH
11,Jarvis,Dong,iofhiosdfhoihkj@gg.edu,CIS
12,Clark,Chen,iqowuhejioqwheiu@gg.edu,CIS
13,Rose,Davis,oijzxcovnj@gg.edu,EC
14,John,Desmond,oihjscoivhiosdvhio@gg.edu,EC
15,Micheal,Morgon,wouifhweuiohriu@gg.edu,ENG
16,Alex,Charles,qwehuiohzxuifhiuo@gg.edu,ENG
17,Ciri,Bane,qwieuqwheuih@gg.edu,MATH
18,Elise,Johnsom,qwoiejqwioejoi@gg.edu,MATH
19,Charles,Madison,qweiojpokop@gg.edu,MAKT
20,Evie,Fry,iojoixhcihio@gg.edu,MAKT
